trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.951229424500714}",25,0,-190.58060067810632,"{0: 7, 1: 9, 2: 5, 3: 3, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9048374180359595}",20,0,-87.56755570311951,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8607079764250578}",20,0,-80.90138670117688,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.8187307530779818}",20,12,-24.693012004419966,"{0: 5, 1: 1, 2: 1, 3: 1, 4: 0}",1
5,False,"{'a': 0.5, 'e': 0.7788007830714049}",25,0,-230.95217855691988,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 5}",0
6,False,"{'a': 0.5, 'e': 0.7408182206817179}",20,0,-20.610015737262778,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.7046880897187134}",20,10,-58.41910196680247,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.6703200460356393}",30,3,0.2292251740085165,"{0: 23, 1: 2, 2: 2, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.6376281516217733}",25,0,-98.74061634946985,"{0: 20, 1: 0, 2: 2, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.6065306597126334}",20,3,-30.630737612124733,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.5769498103804866}",20,0,-166.2687523320498,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.5488116360940265}",25,3,-125.04096576381657,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 2}",1
13,False,"{'a': 0.5, 'e': 0.522045776761016}",25,2,17.259136188918838,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.4965853037914095}",25,11,12.600344329735691,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.4723665527410147}",25,0,-8.129525842442263,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.44932896411722156}",25,0,-67.24554487642853,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.4274149319487267}",25,0,-100.25068959240848,"{0: 20, 1: 0, 2: 1, 3: 2, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.4065696597405991}",30,16,-25.928212188086043,"{0: 10, 1: 1, 2: 2, 3: 1, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.38674102345450123}",25,0,-37.23605541694242,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.36787944117144233}",20,0,-38.35479704896213,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",1
21,False,"{'a': 0.5, 'e': 0.3499377491111553}",25,10,-7.1250250785731275,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 0}",1
22,False,"{'a': 0.5, 'e': 0.33287108369807955}",20,6,-37.53178731228312,"{0: 10, 1: 1, 2: 1, 3: 2, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.3166367693790533}",20,0,10.93745702981385,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.30119421191220214}",25,8,-28.960983716583954,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 1}",1
25,False,"{'a': 0.5, 'e': 0.2865047968601901}",20,0,3.1890879314793033,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.2725317930340126}",20,0,-28.498255426009038,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.2592402606458915}",20,8,-0.5860857386478657,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.2465969639416065}",20,2,-23.906125366761795,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
29,False,"{'a': 0.5, 'e': 0.23457028809379765}",25,5,-20.091873005237947,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",1
30,False,"{'a': 0.5, 'e': 0.22313016014842982}",20,0,2.822214986016295,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
31,False,"{'a': 0.5, 'e': 0.21224797382674304}",25,0,-13.954310489623861,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
32,False,"{'a': 0.5, 'e': 0.20189651799465538}",25,17,16.32883060929942,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.5, 'e': 0.19204990862075413}",20,0,-8.444660422632248,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",1
34,False,"{'a': 0.5, 'e': 0.18268352405273466}",30,7,-3.8596680688339875,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 0}",1
35,False,"{'a': 0.5, 'e': 0.17377394345044514}",25,16,-4.737699541380714,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
36,False,"{'a': 0.5, 'e': 0.16529888822158653}",20,14,0.6003253796389867,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
37,False,"{'a': 0.5, 'e': 0.1572371663136276}",25,0,-21.340903785447743,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
38,False,"{'a': 0.5, 'e': 0.14956861922263506}",25,6,20.922557790402823,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
39,False,"{'a': 0.5, 'e': 0.1422740715865136}",30,19,21.90062452062841,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.5, 'e': 0.1353352832366127}",25,5,-62.4135545861769,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",1
41,False,"{'a': 0.5, 'e': 0.12873490358780423}",30,18,18.621745573650962,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.5, 'e': 0.1224564282529819}",20,11,16.646042550978613,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.11648415777349697}",25,4,18.434224757734867,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.11080315836233387}",25,6,26.297361311436497,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.5, 'e': 0.10539922456186433}",25,17,12.159247051303664,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.10025884372280375}",25,0,27.608587107337613,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
47,False,"{'a': 0.5, 'e': 0.09536916221554961}",20,12,14.531162457645191,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.09071795328941251}",20,2,18.518513546498244,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.0862935864993705}",20,16,9.254659186354562,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.0820849986238988}",20,16,9.17261332065227,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.07808166600115317}",20,1,12.396199992435887,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.07427357821433388}",25,2,33.031116876263944,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
