trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-201.20097608148475,"{0: 17, 1: 6, 2: 3, 3: 0, 4: 4}",0
2,False,"{'a': 0.5, 'e': 1.0}",35,0,-131.40999712088254,"{0: 20, 1: 4, 2: 10, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-21.205906174496626,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-113.21131508925687,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,4,-7.211865403081248,"{0: 12, 1: 3, 2: 1, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 1.0}",35,0,-158.05267018234264,"{0: 23, 1: 3, 2: 5, 3: 2, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-180.90778846648993,"{0: 15, 1: 4, 2: 8, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-60.527492366785665,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",35,0,-216.5593652858211,"{0: 20, 1: 4, 2: 6, 3: 2, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-126.77321915165275,"{0: 9, 1: 5, 2: 3, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-235.08612925503957,"{0: 13, 1: 2, 2: 4, 3: 2, 4: 4}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,13,-60.205413597062304,"{0: 9, 1: 3, 2: 4, 3: 1, 4: 0}",1
13,False,"{'a': 0.5, 'e': 1.0}",35,0,-158.95877129518271,"{0: 20, 1: 5, 2: 8, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-85.69993437655721,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,7,-21.207915533571786,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-182.87931614080418,"{0: 13, 1: 1, 2: 7, 3: 2, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-139.0692327737242,"{0: 15, 1: 8, 2: 4, 3: 2, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-62.87098462369257,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-140.69109819033523,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-134.54708866814957,"{0: 20, 1: 2, 2: 5, 3: 1, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-83.61122067111275,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",35,0,-220.98603603877842,"{0: 19, 1: 6, 2: 4, 3: 3, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-115.9539175127428,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",35,0,-225.88062591548254,"{0: 16, 1: 7, 2: 7, 3: 3, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-196.26156702014805,"{0: 12, 1: 3, 2: 7, 3: 0, 4: 3}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-78.79741922580062,"{0: 16, 1: 4, 2: 3, 3: 2, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-110.41142896940792,"{0: 14, 1: 3, 2: 5, 3: 3, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,3,-83.62446131207184,"{0: 10, 1: 1, 2: 5, 3: 0, 4: 1}",1
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-110.67816726090092,"{0: 15, 1: 6, 2: 1, 3: 2, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-135.02763879383457,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 2}",0
